Rank,Handle,Profile URL,Who They Are,Followers,Category,Hawaii,Also In Tier,Notes
1,leilahurst,https://www.instagram.com/leilahurst/,Leila Byram — Athlete,69900,influencer,N,Tier 3,Large following but no evident HI/service dog/nonprofit connection
2,humphreysaccaro,https://www.instagram.com/humphreysaccaro/,HUMPHREY — Honolulu celebrity dog,64300,business_local,Y,--,Dog page miscategorized as hospitality; no business entity
3,emerson_and_co,https://www.instagram.com/emerson_and_co/,Emerson Retrievers — Golden retriever family,58400,influencer,N,--,Large dog account but mainland-based no fundraising path
4,psychological_vigilante,https://www.instagram.com/psychological_vigilante/,Jen_Nay — Lifestyle influencer,48400,influencer,N,--,Large following but no evident HI/service dog/nonprofit connection
5,yafavoritelatinaa,https://www.instagram.com/yafavoritelatinaa/,Asianna Saragosa-Llarinas — HI media personality,43800,influencer,N,Tier 3,Appeared on KHON2 HI NOW HNN; strong amplifier
6,hawaiianelectric,https://www.instagram.com/hawaiianelectric/,Hawaiian Electric — Major HI utility,33400,corporate,Y,Tier 1,Top fundraising prospect; CSR sponsorship target
7,imjakeacedo,https://www.instagram.com/imjakeacedo/,Jake Acedo — Public figure,22800,influencer,N,Tier 3,HI-connected media amplifier
8,long_live_our_animals,https://www.instagram.com/long_live_our_animals/,Animal wellness advocate,22600,pet_industry,N,--,Veterinary subcategory excluded; individual advocate no biz
9,michaelsunlee,https://www.instagram.com/michaelsunlee/,Michael Sun Lee — Artist entertainer,17600,influencer,N,Tier 3,Media amplifier; event guest potential
10,fishcakehawaii,https://www.instagram.com/fishcakehawaii/,fishcake — Creative co-working & events hub,15800,organization,Y,Tier 2,Top venue partner; donor-class member network
11,thepublicpet,https://www.instagram.com/thepublicpet/,The Public Pet — Urban pet supply Kaimuki,15500,pet_industry,Y,Tier 4,Premier HI pet retailer; co-branded event partner
12,hanakoabrewing,https://www.instagram.com/hanakoabrewing/,Hana Koa Brewing — Craft brewery & restaurant,15300,business_local,Y,Tier 1,Top fundraising prospect; venue + sponsorship
