Priority,Handle,Display Name,Current Category,Suggested Category,Confidence,Followers,Posts,Is Business,Is Hawaii,Review Reason,Bio (first 100 chars)
P2_corporate_keyword_review,hawaiianelectric,Hawaiian Electric,corporate,corporate,0.80,33400,6638,0,0,Corporate classification needs review for keyword ambiguity,"Established in 1891, we are committed to empowering our customers and communities by providing affor"
P2_corporate_keyword_review,amypetersyoga,Amy Peters,corporate,corporate,0.80,1459,298,0,0,Corporate classification needs review for keyword ambiguity,"Yoga/Meditation classes✨
Privates✨Corporate✨
Special Events✨
www.amypetersyoga.com
Follow
Join us 1/"
P2_org_charity_low_confidence,hulphondenschool_novi_click,Hulphondenschool Novi-Click,organization,organization,0.80,238,116,0,0,Low confidence organization classification,"www.novi-click.nl Teamtraining hulphonden
Dijk van Bommenede 74, Zonnemaire 4316 AT
www.novi-click.n"
P2_org_charity_low_confidence,pawsandplayhawaii,Paws & Play Hawaii,organization,organization,0.80,289,61,0,1,Low confidence organization classification,A social club for 🐶 and their humans. @pawsandplayhawaii Hours MWF Weekends 9am-5pm & TTH 9am-7pm La
P2_org_charity_low_confidence,sonyopenhawaii,Sony Open in Hawaii,organization,organization,0.80,11900,665,0,1,Low confidence organization classification,"Official account for the Sony Open in Hawaii, January 12-18, 2026 at Waialae Country Club, Oahu #son"
P2_org_charity_low_confidence,oursaviorhawaii,Our Savior Lutheran Church,organization,organization,0.80,48,110,0,1,Low confidence organization classification,"Church
Worship Sundays 8:15am & 10:45am
98-1098 Moanalua Road, Aiea, HI
You are a unique and unrepro"
P2_org_charity_low_confidence,hawaiijobcorps,Hawaii Job Corps,organization,organization,0.80,1233,293,0,0,Low confidence organization classification,"FREE Career Training, High School Diploma, Military, College & Apprenticeships for 16-24 y/o. Includ"
P2_org_charity_low_confidence,fishcakehawaii,fishcake,organization,organization,0.80,15800,1275,0,1,Low confidence organization classification,"Community
third space for co creatives, art, handmade retail, test cafe, clay studio, @fishschoolhaw"
P2_org_charity_low_confidence,northshoresurfgirls,North Shore Surf Girls,organization,organization,0.80,3143,1275,1,1,Low confidence organization classification,"Product/service
Locally owned surf school on Oahu's fabled North Shore. | Book a lesson with us toda"
P2_org_charity_low_confidence,keelikolanimiddle,Ke’elikōlani Middle School,organization,organization,0.80,2124,704,0,1,Low confidence organization classification,"We, the Ke'elikōlani Middle School Ohana, are dedicated to nurturing, inspiring, and empowering all "
P2_org_charity_low_confidence,waikikicommunitycenter,Waikiki Community Center,organization,organization,0.80,2557,650,0,1,Low confidence organization classification,"Community
Waikiki hub for Community, Connection & Care 🌈 Events, Workshops & Activities. Support for"
P2_org_charity_low_confidence,waimalues,Waimalu Warriors,organization,organization,0.80,458,221,0,0,Low confidence organization classification,"School
Welcome to the official account for Waimalu Elementary! We are so glad to have you join us. 😁"
P2_org_charity_low_confidence,rceasthonolulu,Rotary Club of East Honolulu,organization,organization,0.80,664,205,0,1,Low confidence organization classification,"Community Organization
Together, we see a world where people unite & take action to create lasting c"
P2_org_charity_low_confidence,la_flare1017_,TOMMY BERRETA🇲🇽🌹,organization,organization,0.80,1666,378,0,1,Low confidence organization classification,"@kakaakoboxingclub -My purpose is bigger than myself. ✝️Oahu,Hawaii
Follow
Blessed LIFE"
